iter	Logloss
0	0.6663160211
1	0.6510438507
2	0.6352140833
3	0.6312683775
4	0.624846089
5	0.6169601229
6	0.6058839539
7	0.5966204665
8	0.5939672224
9	0.5916607722
10	0.5886718383
11	0.5721402037
12	0.5673079214
13	0.5577559849
14	0.5391412202
15	0.536169695
16	0.527631757
17	0.5214051633
18	0.5150588345
19	0.5056771227
20	0.4999689495
21	0.4975941832
22	0.4956903106
23	0.4942296178
24	0.4855786742
25	0.4830695828
26	0.4802622193
27	0.4781673479
28	0.4762468305
29	0.4743903365
30	0.4713743773
31	0.4664921432
32	0.4566331636
33	0.4511245839
34	0.4473213553
35	0.4411041172
36	0.4326373429
37	0.4307896872
38	0.4220846262
39	0.420529497
40	0.4128997717
41	0.4093533129
42	0.4078287345
43	0.4061711507
44	0.4021133186
45	0.4004106835
46	0.3944308447
47	0.3887834199
48	0.3857073383
49	0.3844543652
50	0.3833275674
51	0.3820020599
52	0.3773398641
53	0.3755872881
54	0.3742554362
55	0.3714697258
56	0.3684564265
57	0.3673174807
58	0.362553463
59	0.3602386836
60	0.3557123232
61	0.3545258334
62	0.3535604651
63	0.3493678208
64	0.3481853362
65	0.3470648975
66	0.3462798915
67	0.3423852531
68	0.3413903448
69	0.3382797436
70	0.3372333716
71	0.3363014947
72	0.3352664811
73	0.3334041705
74	0.3316994108
75	0.3307220124
76	0.3299999336
77	0.3290588029
78	0.3284805242
79	0.3275459811
80	0.3266657846
81	0.324192529
82	0.3234231987
83	0.3212232482
84	0.320430007
85	0.3185027781
86	0.3176548831
87	0.3155029826
88	0.3149773809
89	0.31407614
90	0.3133986077
91	0.3124830488
92	0.309115201
93	0.3084590228
94	0.3077816107
95	0.3069203749
96	0.3062034454
97	0.3054833215
98	0.304811087
99	0.3042292015
100	0.3021243684
101	0.3013709898
102	0.3006781789
103	0.3000520747
104	0.2992737688
105	0.2984874513
106	0.2978364601
107	0.2970950584
108	0.2951733971
109	0.29342844
110	0.291478504
111	0.2906985383
112	0.2899786137
113	0.2882138532
114	0.2875236038
115	0.2868792999
116	0.2864649708
117	0.2857904543
118	0.2852748881
119	0.2847535387
120	0.2841077645
